"","ID","Population"
"1","NA19648","AMR"
"2","NA19649","AMR"
"3","NA19651","AMR"
"4","NA19652","AMR"
"5","NA19654","AMR"
"6","NA19655","AMR"
"7","NA19657","AMR"
"8","NA19658","AMR"
"9","NA19661","AMR"
"10","NA19663","AMR"
"11","NA19664","AMR"
"12","NA19669","AMR"
"13","NA19670","AMR"
"14","NA19676","AMR"
"15","NA19678","AMR"
"16","NA19679","AMR"
"17","NA19681","AMR"
"18","NA19682","AMR"
"19","NA19684","AMR"
"20","NA19716","AMR"
"21","NA19717","AMR"
"22","NA19719","AMR"
"23","NA19720","AMR"
"24","NA19722","AMR"
"25","NA19723","AMR"
"26","NA19725","AMR"
"27","NA19726","AMR"
"28","NA19728","AMR"
"29","NA19729","AMR"
"30","NA19731","AMR"
"31","NA19732","AMR"
"32","NA19734","AMR"
"33","NA19735","AMR"
"34","NA19740","AMR"
"35","NA19741","AMR"
"36","NA19746","AMR"
"37","NA19747","AMR"
"38","NA19749","AMR"
"39","NA19750","AMR"
"40","NA19752","AMR"
"41","NA19755","AMR"
"42","NA19756","AMR"
"43","NA19758","AMR"
"44","NA19759","AMR"
"45","NA19761","AMR"
"46","NA19762","AMR"
"47","NA19764","AMR"
"48","NA19770","AMR"
"49","NA19771","AMR"
"50","NA19773","AMR"
"51","NA19774","AMR"
"52","NA19776","AMR"
"53","NA19777","AMR"
"54","NA19779","AMR"
"55","NA19780","AMR"
"56","NA19782","AMR"
"57","NA19783","AMR"
"58","NA19785","AMR"
"59","NA19786","AMR"
"60","NA19788","AMR"
"61","NA19789","AMR"
"62","NA19792","AMR"
"63","NA19794","AMR"
"64","NA19795","AMR"
"65","HG00551","AMR"
"66","HG00553","AMR"
"67","HG00554","AMR"
"68","HG00637","AMR"
"69","HG00638","AMR"
"70","HG00640","AMR"
"71","HG00641","AMR"
"72","HG00731","AMR"
"73","HG00732","AMR"
"74","HG00734","AMR"
"75","HG00736","AMR"
"76","HG00737","AMR"
"77","HG00739","AMR"
"78","HG00740","AMR"
"79","HG00742","AMR"
"80","HG00743","AMR"
"81","HG01047","AMR"
"82","HG01048","AMR"
"83","HG01049","AMR"
"84","HG01051","AMR"
"85","HG01052","AMR"
"86","HG01054","AMR"
"87","HG01055","AMR"
"88","HG01058","AMR"
"89","HG01060","AMR"
"90","HG01061","AMR"
"91","HG01063","AMR"
"92","HG01064","AMR"
"93","HG01066","AMR"
"94","HG01067","AMR"
"95","HG01069","AMR"
"96","HG01070","AMR"
"97","HG01072","AMR"
"98","HG01073","AMR"
"99","HG01075","AMR"
"100","HG01077","AMR"
"101","HG01079","AMR"
"102","HG01080","AMR"
"103","HG01082","AMR"
"104","HG01083","AMR"
"105","HG01085","AMR"
"106","HG01086","AMR"
"107","HG01088","AMR"
"108","HG01089","AMR"
"109","HG01092","AMR"
"110","HG01094","AMR"
"111","HG01095","AMR"
"112","HG01097","AMR"
"113","HG01098","AMR"
"114","HG01101","AMR"
"115","HG01102","AMR"
"116","HG01104","AMR"
"117","HG01105","AMR"
"118","HG01107","AMR"
"119","HG01108","AMR"
"120","HG01110","AMR"
"121","HG01111","AMR"
"122","HG01161","AMR"
"123","HG01162","AMR"
"124","HG01164","AMR"
"125","HG01167","AMR"
"126","HG01168","AMR"
"127","HG01170","AMR"
"128","HG01171","AMR"
"129","HG01173","AMR"
"130","HG01174","AMR"
"131","HG01176","AMR"
"132","HG01177","AMR"
"133","HG01182","AMR"
"134","HG01183","AMR"
"135","HG01187","AMR"
"136","HG01188","AMR"
"137","HG01190","AMR"
"138","HG01191","AMR"
"139","HG01197","AMR"
"140","HG01198","AMR"
"141","HG01200","AMR"
"142","HG01204","AMR"
"143","HG01205","AMR"
"144","HG01241","AMR"
"145","HG01242","AMR"
"146","HG01247","AMR"
"147","HG01248","AMR"
"148","HG01286","AMR"
"149","HG01302","AMR"
"150","HG01303","AMR"
"151","HG01305","AMR"
"152","HG01308","AMR"
"153","HG01311","AMR"
"154","HG01312","AMR"
"155","HG01323","AMR"
"156","HG01325","AMR"
"157","HG01326","AMR"
"158","HG01392","AMR"
"159","HG01393","AMR"
"160","HG01395","AMR"
"161","HG01396","AMR"
"162","HG01398","AMR"
"163","HG01402","AMR"
"164","HG01403","AMR"
"165","HG01405","AMR"
"166","HG01412","AMR"
"167","HG01413","AMR"
"168","HG01414","AMR"
"169","HG01112","AMR"
"170","HG01113","AMR"
"171","HG01119","AMR"
"172","HG01121","AMR"
"173","HG01122","AMR"
"174","HG01124","AMR"
"175","HG01125","AMR"
"176","HG01130","AMR"
"177","HG01131","AMR"
"178","HG01133","AMR"
"179","HG01134","AMR"
"180","HG01136","AMR"
"181","HG01137","AMR"
"182","HG01139","AMR"
"183","HG01140","AMR"
"184","HG01142","AMR"
"185","HG01148","AMR"
"186","HG01149","AMR"
"187","HG01250","AMR"
"188","HG01251","AMR"
"189","HG01253","AMR"
"190","HG01254","AMR"
"191","HG01256","AMR"
"192","HG01257","AMR"
"193","HG01259","AMR"
"194","HG01260","AMR"
"195","HG01269","AMR"
"196","HG01271","AMR"
"197","HG01272","AMR"
"198","HG01275","AMR"
"199","HG01277","AMR"
"200","HG01280","AMR"
"201","HG01281","AMR"
"202","HG01284","AMR"
"203","HG01341","AMR"
"204","HG01342","AMR"
"205","HG01344","AMR"
"206","HG01345","AMR"
"207","HG01348","AMR"
"208","HG01350","AMR"
"209","HG01351","AMR"
"210","HG01353","AMR"
"211","HG01354","AMR"
"212","HG01356","AMR"
"213","HG01357","AMR"
"214","HG01359","AMR"
"215","HG01360","AMR"
"216","HG01362","AMR"
"217","HG01363","AMR"
"218","HG01365","AMR"
"219","HG01366","AMR"
